,threshold,metric,value,vacc_cov
0,0.001,n_moves,41.0,
1,0.001,ss_assort,0.04004227053865904,
2,0.001,modul,0.675604159996459,
3,0.001,esti_uppb_epi,451.564,0.5
4,0.001,esti_uppb_epi,192.54,0.6
5,0.001,esti_uppb_epi,10.473333333333333,0.7
6,0.001,esti_uppb_epi,4.6,0.8
7,0.001,esti_uppb_epi,2.22,0.9
8,0.001,n_moves,39.0,
9,0.001,ss_assort,0.0369428505681615,
10,0.001,modul,0.6469622599960473,
11,0.001,esti_uppb_epi,457.436,0.5
12,0.001,esti_uppb_epi,120.185,0.6
13,0.001,esti_uppb_epi,18.753333333333334,0.7
14,0.001,esti_uppb_epi,7.22,0.8
15,0.001,esti_uppb_epi,2.5,0.9
16,0.001,n_moves,36.0,
17,0.001,ss_assort,-0.0468539038834337,
18,0.001,modul,0.6453180999963138,
19,0.001,esti_uppb_epi,395.412,0.5
20,0.001,esti_uppb_epi,24.975,0.6
21,0.001,esti_uppb_epi,12.06,0.7
22,0.001,esti_uppb_epi,5.29,0.8
23,0.001,esti_uppb_epi,2.24,0.9
24,0.001,n_moves,44.0,
25,0.001,ss_assort,-0.0065792360767455,
26,0.001,modul,0.6474533599959867,
27,0.001,esti_uppb_epi,468.724,0.5
28,0.001,esti_uppb_epi,166.37,0.6
29,0.001,esti_uppb_epi,14.373333333333333,0.7
30,0.001,esti_uppb_epi,5.59,0.8
31,0.001,esti_uppb_epi,2.46,0.9
32,0.001,n_moves,46.0,
33,0.001,ss_assort,0.029683718643121436,
34,0.001,modul,0.6750806599963067,
35,0.001,esti_uppb_epi,494.036,0.5
36,0.001,esti_uppb_epi,93.91,0.6
37,0.001,esti_uppb_epi,12.64,0.7
38,0.001,esti_uppb_epi,6.64,0.8
39,0.001,esti_uppb_epi,1.88,0.9
40,0.001,n_moves,37.0,
41,0.001,ss_assort,0.04612131592059365,
42,0.001,modul,0.6860853799967319,
43,0.001,esti_uppb_epi,375.596,0.5
44,0.001,esti_uppb_epi,113.795,0.6
45,0.001,esti_uppb_epi,55.70666666666666,0.7
46,0.001,esti_uppb_epi,5.38,0.8
47,0.001,esti_uppb_epi,2.52,0.9
48,0.001,n_moves,42.0,
49,0.001,ss_assort,0.09644796364171032,
50,0.001,modul,0.6463980199959691,
51,0.001,esti_uppb_epi,457.648,0.5
52,0.001,esti_uppb_epi,54.08,0.6
53,0.001,esti_uppb_epi,12.053333333333333,0.7
54,0.001,esti_uppb_epi,6.43,0.8
55,0.001,esti_uppb_epi,2.4,0.9
56,0.001,n_moves,36.0,
57,0.001,ss_assort,0.06582761718482423,
58,0.001,modul,0.7076162399969408,
59,0.001,esti_uppb_epi,314.892,0.5
60,0.001,esti_uppb_epi,75.225,0.6
61,0.001,esti_uppb_epi,11.44,0.7
62,0.001,esti_uppb_epi,4.76,0.8
63,0.001,esti_uppb_epi,2.6,0.9
64,0.001,n_moves,38.0,
65,0.001,ss_assort,-0.006770273616767553,
66,0.001,modul,0.6941163399968785,
67,0.001,esti_uppb_epi,360.928,0.5
68,0.001,esti_uppb_epi,84.825,0.6
69,0.001,esti_uppb_epi,14.186666666666667,0.7
70,0.001,esti_uppb_epi,4.93,0.8
71,0.001,esti_uppb_epi,2.12,0.9
72,0.001,n_moves,36.0,
73,0.001,ss_assort,-0.0533090751966617,
74,0.001,modul,0.6793162399967171,
75,0.001,esti_uppb_epi,357.332,0.5
76,0.001,esti_uppb_epi,51.8,0.6
77,0.001,esti_uppb_epi,9.933333333333334,0.7
78,0.001,esti_uppb_epi,5.58,0.8
79,0.001,esti_uppb_epi,4.18,0.9
80,0.0019947365987750282,n_moves,88.0,
81,0.0019947365987750282,ss_assort,0.070925584822825,
82,0.0019947365987750282,modul,0.6616956599967684,
83,0.0019947365987750282,esti_uppb_epi,482.264,0.5
84,0.0019947365987750282,esti_uppb_epi,141.99,0.6
85,0.0019947365987750282,esti_uppb_epi,24.54,0.7
86,0.0019947365987750282,esti_uppb_epi,6.13,0.8
87,0.0019947365987750282,esti_uppb_epi,2.3,0.9
88,0.0019947365987750282,n_moves,63.0,
89,0.0019947365987750282,ss_assort,0.06243701270527688,
